run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,notes
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,verify_valid,medium256,256,0,1,1593667,1562000,7471104,true,accepted,32,64,17088,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,verify_tampered_signature,medium256,256,0,0,1414458,1414000,7471104,true,rejected,32,0,17088,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,sign,transaction512,512,0,1,24247541,24174000,7471104,true,signature_generated,32,64,17088,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,verify_valid,transaction512,512,0,1,1551333,1512000,7471104,true,accepted,32,64,17088,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,verify_tampered_signature,transaction512,512,0,0,1388583,1389000,7471104,true,rejected,32,0,17088,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,sign,block4096,4096,0,1,24323166,24202000,7471104,true,signature_generated,32,64,17088,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,verify_valid,block4096,4096,0,1,1490125,1467000,7471104,true,accepted,32,64,17088,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,verify_tampered_signature,block4096,4096,0,0,1578750,1567000,7471104,true,rejected,32,0,17088,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,sign,large16384,16384,0,1,24543500,24417000,7471104,true,signature_generated,32,64,17088,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,verify_valid,large16384,16384,0,1,1656167,1642000,7471104,true,accepted,32,64,17088,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,SLH-DSA-SHAKE-128f-simple,verify_tampered_signature,large16384,16384,0,0,1489709,1490000,7471104,true,rejected,32,0,17088,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-KEM-1024,keygen,none,0,0,1,12375,14000,7503872,true,keypair_generated,1568,3168,0,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-KEM-1024,encapsulate,kem,0,0,1,12542,13000,7569408,true,encapsulated,1568,3168,0,1568,32,PQCManager includes allocation and ciphertext/shared-secret registry insertion
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-KEM-1024,decapsulate,kem,0,0,1,14666,15000,7585792,true,shared_secret_match,1568,3168,0,1568,32,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-KEM-1024,decapsulate_tampered_ciphertext,kem,0,0,0,17000,17000,7602176,true,implicit_rejection_secret_differs,1568,3168,0,1568,32,CCA KEM decapsulation returned a secret; correctness requires it to differ from the original secret
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,HQC-256,keygen,none,0,0,1,2756416,2735000,7684096,true,keypair_generated,7245,7317,0,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,HQC-256,encapsulate,kem,0,0,1,5169500,5171000,7766016,true,encapsulated,7245,7317,0,14421,64,PQCManager includes allocation and ciphertext/shared-secret registry insertion
